text,true_label,prediction,latency,is_valid,dataset,status
it 's a stunning lyrical work of considerable force and truth . ,positive,positive,1.332871437072754,True,SST-2,success:gemini-3.1-flash-lite-preview
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative,negative,0.6107485294342041,True,SST-2,success:gemini-3.1-flash-lite-preview
im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,sadness,sadness,0.7316231727600098,True,Emotion,success:gemini-3.1-flash-lite-preview
i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,joy,joy,0.7599704265594482,True,Emotion,success:gemini-3.1-flash-lite-preview
i feel so damn curious with what this blond doctor plan to do this night,surprise,surprise,0.7249104976654053,True,Emotion,success:gemini-3.1-flash-lite-preview
im feeling pretty anxious,fear,fear,0.5869829654693604,True,Emotion,success:gemini-3.1-flash-lite-preview
i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,love,joy,0.7156524658203125,True,Emotion,success:gemini-3.1-flash-lite-preview
i wake too early so i feel grumpy,anger,anger,0.7927210330963135,True,Emotion,success:gemini-3.1-flash-lite-preview
"China Closes 1,600 Internet Cafes in Crackdown China shut 1,600 Internet cafes between February and August and imposed \$12.1 million worth of fines for allowing children to play violent or adult-only games and other violations, state media said.",Sci/Tech,Sci/Tech,0.748528003692627,True,AG News,success:gemini-3.1-flash-lite-preview
"Large Explosion Heard in Central Baghdad (Reuters) Reuters - A large blast was heard in central\Baghdad on Thursday, witnesses said.",World,World,0.6018855571746826,True,AG News,success:gemini-3.1-flash-lite-preview
"Ford: Monthly Sales Drop, Company Looks To New Vehicles Cruising along the ever-stretching road of decline. Auto giant Ford Motor (nyse: F - news - people ) reported vehicle sales in October that fell 5 from a year ago.",Business,Business,0.8438334465026855,True,AG News,success:gemini-3.1-flash-lite-preview
"Agassi Overcomes Verdasco Power  STOCKHOLM (Reuters) - Andre Agassi marched into the  Stockholm Open semifinals Friday, beating Spanish eighth seed  Fernando Verdasco 7-6, 6-2 in his toughest match of the  tournament.",Sports,Sports,0.5894730091094971,True,AG News,success:gemini-3.1-flash-lite-preview
